"Qty";"Value";"Device";"Package";"Parts";"Description";"BOM";"PROD_ID";"REV";
"1";"";"USB_C16PIN";"USB-C-16P";"USBJACK";"USB Type C 16Pin Connector";"";"CONN-14122";"";
"9";"0.1uF";"CAP_CERAMIC0603_NO";"0603-NO";"C6, C7, C9, C11, C12, C13, C14, C15, C16";"Ceramic Capacitors";"";"";"";
"4";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"R1, R3, R4, R5";"Resistors";"";"";"";
"1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C5";"Ceramic Capacitors";"";"";"";
"1";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C1";"Ceramic Capacitors";"";"";"";
"1";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C4";"Ceramic Capacitors";"";"";"A";
"1";"12MHz";"CRYSTAL";"RESONATOR3225";"Y1";"Various standard crystals. Proven footprints.";"";"";"";
"2";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"R6, R11";"Resistors";"";"";"";
"50";"1N4148WS";"1N4148WS";"SOD-323SLIM";"U$13, U$14, U$15, U$17, U$18, U$19, U$20, U$21, U$22, U$23, U$24, U$26, U$27, U$28, U$29, U$30, U$31, U$32, U$33, U$54, U$59, U$63, U$68, U$69, U$70, U$71, U$94, U$95, U$96, U$97, U$99, U$100, U$101, U$102, U$103, U$104, U$105, U$106, U$108, U$109, U$110, U$111, U$134, U$135, U$136, U$137, U$139, U$140, U$141, U$142";"";"";"";"";
"2";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"C8, C10";"Ceramic Capacitors";"";"";"";
"2";"22pF";"CAP_CERAMIC0603_NO";"0603-NO";"C2, C3";"Ceramic Capacitors";"";"";"";
"2";"27";"RESISTOR_0603_NOOUT";"0603-NO";"R9, R10";"Resistors";"";"";"";
"1";"2MB Flash";"SPIFLASH_8PIN208MIL";"SOIC8_208MIL";"U1";"SOIC8 SPI Flash";"";"";"";
"2";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"R12, R13";"Resistors";"";"";"";
"1";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5@1";"U2";"SOT23-5 Fixed Voltage Regulators";"";"";"";
"45";"CHERRY-SOCKET7SOCKET5";"CHERRY-SOCKET7SOCKET5";"CHERRY-SOCKET5";"SW00, SW01, SW02, SW03, SW04, SW09, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49";"";"";"";"";
"4";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"U$38, U$39, U$62, U$64";"Fiducial Alignment Points";"EXCLUDE";"";"";
"1";"JOYSTICKCOMBO";"JOYSTICKCOMBO";"JOYSTICKCOMBO";"U$34";"";"";"";"";
"15";"M2MOUNT";"M2MOUNT";"M2MOUNT";"U$1, U$2, U$3, U$4, U$5, U$6, U$7, U$8, U$9, U$10, U$11, U$12, U$16, U$25, U$78";"";"";"";"";
"8";"M2MOUNTSOLDERMOUNT";"M2MOUNTSOLDERMOUNT";"M2SOLDER";"U$65, U$66, U$67, U$72, U$74, U$75, U$76, U$77";"";"";"";"";
"1";"MBR540";"DIODE-SCHOTTKYSOD-123";"SOD-123";"D4";"";"";"";"";
"1";"PI4";"PI4";"PI4";"U$73";"";"";"";"";
"4";"ROTARYENCODER_UNIVERSALSLOT";"ROTARYENCODER_UNIVERSALSLOT";"ROTARY_ENC_SLOT";"ROT0, ROT1, ROT2, ROT3";"";"";"";"";
"1";"RP2040_QFN56";"RP2040_QFN56";"QFN56_7MM_REDUCEDEPAD";"IC1";"";"";"";"";
"2";"SWITCH-MOMENTARY-2SMD";"SWITCH-MOMENTARY-2SMD";"TACTILE_SWITCH_SMD";"RST, USB";"Various NO switches- pushbuttons, reed, etc";"";"SWCH-08247";"";
